ID1,ID2,Sex,Age,"Age class (1=calf, 2=yearling, 3=adult)",Year,Location (1=Island 2=Småland 3=Sörmland 4=V-götland),Location 2 (1=Öland 2=Mainland,Weight (carcass),AP-titre (1:40-1:1280),AP-pos (at least 1:40),AP-PCR (1=pos),,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0903,9M5,M,4.5,3,2009,1,1,302,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM1001,10J5,M,4.5,3,2010,1,1,210,1:40,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM1003,10M1,M,4.5,3,2010,1,1,248,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0704,9,F,5.5,3,2007,1,1,185,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0701,34,M,5.5,3,2007,1,1,240,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0802,M1,M,5.5,3,2008,1,1,220,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0902,9M28,F,5.5,3,2009,1,1,160,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF1002,10B4,F,5.5,3,2010,1,1,170,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM1004,10J10,M,5.5,3,2010,1,1,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM1003,10B0,M,5.5,3,2010,1,1,220,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0701,1,F,6.5,3,2007,1,1,145,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF0702,4,F,6.5,3,2007,1,1,187,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0901,9M4,M,6.5,3,2009,1,1,220,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF1001,10M3,F,6.5,3,2010,1,1,198,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM1001,10B2,M,6.5,3,2010,1,1,237,1:80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM1002,10B6,M,6.5,3,2010,1,1,247,1:320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0701,28,M,7.5,3,2007,1,1,220,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAM0901,9B2,M,7.5,3,2009,1,1,240,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF1001,10B3,F,7.5,3,2010,1,1,182,1:80,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM0904,9M12,M,8.5,3,2009,1,1,227,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF1004,10J4,F,8.5,3,2010,1,1,190,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM1004,10M4,M,8.5,3,2010,1,1,252,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAF0702,21,F,9,3,2007,1,1,130,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAM1002,10J7,M,10.5,3,2010,1,1,160,1:80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF1003,10B1,F,13.5,3,2010,1,1,,1:320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
IB,B25,F,,,2008,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBAF1005,10J12,F,,,2010,1,1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCM0904,S40,M,0.5,1,2009,3,2,25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0904,S28,F,1.5,2,2009,3,2,30,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCF0902,S38,F,0.5,1,2009,3,2,44,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MGCM0801,T9,M,0.5,1,2008,4,2,48,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MGCM0802,T5,M,0.5,1,2008,4,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCF0801,E7,F,0.5,1,2008,3,2,52,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCF0903,JS1,F,0.5,1,2009,3,2,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCM0801,E2,M,0.5,1,2008,3,2,54,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCM0901,S15,M,0.5,1,2009,3,2,56,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MGCF0801,T7,F,0.5,1,2008,4,2,58,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0901,9H12,M,0.5,1,2009,2,2,58,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCF0901,S34,F,0.5,1,2009,3,2,60,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0803,R30,F,0.5,1,2008,2,2,60,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0806,H31,F,0.5,1,2008,2,2,60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCM0902,JS3,M,0.5,1,2009,3,2,60,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0902,9H18,F,0.5,1,2009,2,2,61,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0802,H32,F,0.5,1,2008,2,2,61,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0807,H27,F,0.5,1,2008,2,2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCM0903,JS6,M,0.5,1,2009,3,2,62,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0808,H42,M,0.5,1,2008,2,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0809,H20,F,0.5,1,2008,2,2,65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0801,H25,M,0.5,1,2008,2,2,65,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0806,H39,M,0.5,1,2008,2,2,66,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0807,H41,M,0.5,1,2008,2,2,66,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0804,R38,M,0.5,1,2008,2,2,66,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MGCM0803,T8,M,0.5,1,2008,4,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0801,H16,F,0.5,1,2008,2,2,69,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0810,H24,F,0.5,1,2008,2,2,69,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0811,H18,F,0.5,1,2008,2,2,70,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVYF0802,R21,F,1.5,2,2008,2,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0808,H28,F,0.5,1,2008,2,2,71,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF1003,F7,F,0.5,1,2010,2,2,73,1:320,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVYF0901,9H20,M,0.5,1,2009,2,2,73,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0809,H26,M,0.5,1,2008,2,2,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0802,H3,M,0.5,1,2008,2,2,74,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM0901,S11,M,1.5,2,2009,3,2,75,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0803,H44,M,0.5,1,2008,2,2,76,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0805,R22,M,0.5,1,2008,2,2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0811,H50,M,0.5,1,2008,2,2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0802,E15,F,1.5,2,2008,3,2,84,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0901,9H17,F,0.5,1,2009,2,2,85,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCM0810,H9,M,0.5,1,2008,2,2,85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0903,9H24,F,0.5,1,2009,2,2,86,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MVCF0812,R4,F,0.5,1,2008,2,2,87,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM0904,S20,M,1.5,2,2009,3,2,87,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0902,S7,F,1.5,2,2009,3,2,90,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF1003,S43A,F,1.5,2,2010,2,2,92,1:1280,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM0805,E9,M,1.5,2,2008,3,2,92,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYF0907,JS4,F,1.5,2,2009,3,2,94,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM0803,E17,M,1.5,2,2008,3,2,99,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM0905,S22,M,1.5,2,2009,3,2,100,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
MSYM1004,S114,M,1.5,2,2010,2,2,102,1:1280,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MGYF0807,T28,F,1.5,2,2008,4,2,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVYF0809,H38,F,1.5,2,2008,2,2,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
